Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,12,361,231,2253,18,8.3,1409,1113,156,35.80%,43,9.90%,29,8.00%,41,113,25.90%,66
Buffalo Bills,12,326,194,1958,12,8,1157,970,76,20.30%,30,8.00%,33,10.10%,27,90,24.00%,63
Carolina Panthers,13,399,260,2761,16,8,1477,1324,82,18.90%,24,5.50%,22,5.50%,18,64,14.70%,68
Chicago Bears,12,374,252,2702,24,8.2,1632,1159,110,26.60%,24,5.80%,25,6.70%,23,72,17.40%,63
Cincinnati Bengals,12,405,266,3081,26,7.4,1306,1857,78,17.30%,31,6.90%,30,7.40%,18,79,17.50%,138
Cleveland Browns,12,334,215,2039,18,7.8,1161,1112,109,27.50%,27,6.80%,35,10.50%,43,105,26.50%,67
Indianapolis Colts,12,457,292,2955,16,7.7,1692,1456,115,22.50%,51,10.00%,43,9.40%,35,129,25.30%,94
Arizona Cardinals,12,401,258,2635,17,8.1,1589,1206,113,25.50%,30,6.80%,30,7.50%,24,84,18.90%,74
Dallas Cowboys,12,413,281,3018,28,7.9,1674,1560,121,25.70%,75,15.90%,52,12.60%,28,155,32.90%,79
Denver Broncos,12,419,242,2320,11,8.8,1472,1156,131,26.60%,34,6.90%,49,11.70%,51,134,27.20%,67
Detroit Lions,12,380,231,2550,25,10.3,1778,976,106,24.40%,41,9.40%,34,8.90%,32,107,24.60%,48
Green Bay Packers,12,395,262,2238,15,6.9,1380,1011,80,18.00%,29,6.50%,42,10.60%,32,103,23.20%,70
Houston Texans,12,375,219,2088,12,8.4,1273,999,98,22.80%,23,5.30%,30,8.00%,34,87,20.20%,76
Jacksonville Jaguars,12,455,286,2761,22,8.3,1667,1228,123,24.40%,47,9.30%,41,9.00%,24,112,22.20%,71
Kansas City Chiefs,12,357,248,2469,13,6.7,1127,1428,128,31.40%,29,7.10%,39,10.90%,22,90,22.10%,54
Miami Dolphins,12,355,257,2492,20,7.3,1362,1292,124,30.40%,40,9.80%,27,7.60%,25,92,22.50%,75
Minnesota Vikings,12,332,214,2141,14,6.9,1192,1139,168,43.80%,42,10.90%,36,10.80%,31,109,28.40%,82
New Orleans Saints,12,330,222,2252,20,8.2,1269,1163,96,25.50%,35,9.30%,22,6.70%,28,85,22.50%,73
New England Patriots,13,420,279,2690,21,7.6,1553,1306,106,22.60%,30,6.40%,37,8.80%,27,94,20.00%,50
New York Giants,13,454,296,3010,23,7.9,1824,1365,120,23.50%,38,7.50%,40,8.80%,29,107,21.00%,71
New York Jets,12,358,226,2353,19,7.1,1065,1429,112,27.50%,26,6.40%,22,6.10%,21,69,16.90%,89
Tennessee Titans,12,359,248,2619,19,7.9,1570,1262,88,21.30%,23,5.60%,35,9.70%,30,88,21.30%,61
Philadelphia Eagles,12,413,233,2619,12,9,1496,1246,96,20.60%,33,7.10%,46,11.10%,24,103,22.20%,74
Pittsburgh Steelers,12,455,293,2969,20,6.7,1640,1521,153,30.10%,32,6.30%,42,9.20%,34,108,21.30%,99
Las Vegas Raiders,12,372,250,2550,19,7.9,1418,1203,83,19.90%,30,7.20%,29,7.80%,23,82,19.70%,101
Los Angeles Rams,12,418,269,2487,16,7.8,1558,1154,88,18.70%,38,8.10%,36,8.60%,33,107,22.80%,50
Baltimore Ravens,12,436,270,2784,18,8.4,1653,1231,123,25.50%,31,6.40%,45,10.30%,19,95,19.70%,76
Los Angeles Chargers,12,349,214,2020,12,7.4,968,1255,78,19.00%,23,5.60%,29,8.30%,34,86,21.00%,74
Seattle Seahawks,12,443,280,2408,16,6.9,1243,1451,103,19.90%,66,12.80%,42,9.50%,40,148,28.60%,83
San Francisco 49ers,13,451,312,3016,23,7.9,1765,1320,86,17.50%,27,5.50%,28,6.20%,16,71,14.40%,68
Tampa Bay Buccaneers,12,415,277,2970,21,8,1573,1598,146,30.40%,29,6.00%,34,8.20%,29,92,19.20%,71
Washington Commanders,12,373,252,3059,23,7.5,1532,1643,95,22.80%,19,4.60%,31,8.30%,26,76,18.20%,87
