Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Cleveland Browns,12,138,763,25.4,10.1,5.5,22.4,Own 31.2,2:34,1.31
2,Denver Broncos,12,138,783,37,8,5.7,29.6,Own 29.7,2:37,2.04
3,Chicago Bears,12,135,826,43.7,6.7,6.1,33,Own 32.6,2:50,2.29
4,San Francisco 49ers,13,134,865,44.8,13.4,6.5,33.2,Own 32.9,2:59,2.33
5,New York Giants,13,133,854,36.8,9.8,6.4,33.2,Own 30.7,3:02,2.13
6,Minnesota Vikings,12,133,691,31.6,17.3,5.2,24.4,Own 29.8,2:28,1.58
7,Las Vegas Raiders,12,133,711,26.3,12.8,5.3,23.4,Own 29.5,2:37,1.36
8,Jacksonville Jaguars,12,133,800,37.6,10.5,6,29.4,Own 31.3,2:55,2.06
9,New England Patriots,13,132,830,43.9,9.8,6.3,35.5,Own 30.9,3:08,2.38
10,Houston Texans,12,132,807,40.9,6.8,6.1,29.7,Own 32.1,2:55,1.92
11,Atlanta Falcons,12,131,758,35.1,6.9,5.8,30.6,Own 28.7,2:43,1.85
12,Tampa Bay Buccaneers,12,131,774,38.9,6.9,5.9,28.9,Own 31.7,2:53,2.05
13,Detroit Lions,12,131,759,44.3,6.1,5.8,34.3,Own 32.4,2:50,2.61
14,Baltimore Ravens,12,131,705,40.5,13,5.4,29,Own 31.6,2:39,2.16
15,Seattle Seahawks,12,130,733,46.2,15.4,5.6,32.4,Own 29.6,2:44,2.37
16,Cincinnati Bengals,12,129,755,39.5,14,5.9,29.1,Own 29.9,2:37,2.05
17,New York Jets,12,128,736,34.4,9.4,5.8,26.3,Own 30.5,2:41,1.72
18,Dallas Cowboys,12,127,802,47.2,11.8,6.3,37.2,Own 29.3,2:54,2.61
19,Pittsburgh Steelers,12,127,689,37.8,10.2,5.4,26.5,Own 32.0,2:33,2.05
20,Carolina Panthers,13,127,823,35.4,12.6,6.5,31.8,Own 29.9,3:12,1.88
21,Buffalo Bills,12,125,779,45.6,12.8,6.2,36.5,Own 28.1,3:11,2.65
22,Philadelphia Eagles,12,125,695,33.6,5.6,5.6,28.4,Own 29.1,2:49,1.97
23,Tennessee Titans,12,125,723,26.4,12,5.8,23.3,Own 28.6,2:45,1.14
24,New Orleans Saints,12,124,789,28.2,14.5,6.4,28.6,Own 29.7,2:42,1.36
25,Los Angeles Rams,12,124,745,43.5,8.9,6,34.6,Own 32.3,2:50,2.66
26,Arizona Cardinals,12,124,810,37.1,11.3,6.5,32.6,Own 30.9,3:05,2.02
27,Los Angeles Chargers,12,120,800,45,10.8,6.7,34.6,Own 30.1,3:17,2.28
28,Miami Dolphins,12,118,695,39,14.4,5.9,30.3,Own 31.1,2:55,2.02
29,Green Bay Packers,12,118,756,44.9,5.9,6.4,34.6,Own 30.5,3:06,2.5
30,Indianapolis Colts,12,117,727,53,9.4,6.2,37.9,Own 31.2,3:00,2.92
31,Washington Commanders,12,116,743,37.9,11.2,6.4,34.3,Own 29.8,2:59,2.14
32,Kansas City Chiefs,12,114,815,49.1,7,7.1,39.5,Own 29.3,3:24,2.7
,League Total,,4083,24541,39,10.5,6,31,Own 30.5,2:52,2.09
